id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione,nebbia_words_ratio,cancellazione_words_ratio,dubitative_ratio,n_lists_f,n_lists_m,n_lists_p,n_lists_s,text_length
S054,0.00,1.00,0.00,0.00,0.00,0.00,0.02,0,100,0,0.01,0.06,0,0.02,2498,222,0,1749,71831
S055,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,257,0,0,83,4278
S056,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,868,0,0,0,7069
S057,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,456,0,0,0,7070
S058,0.00,0.78,0.00,0.00,0.00,0.22,0.2,0,100,0,0.16,0.06,0,0.02,0,0,0,0,0
S059,0.00,1.00,0.00,0.00,0.00,0.00,0.29,0.2,66.67,33.33,0.44,0.12,0.03,0.07,948,82,0,0,7919
S060,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,2301,0,156,0,6734
S061,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,98,0,5431
S062,0.00,1.00,0.00,0.00,0.00,0.00,0,0.16,0,100,0.16,0,0.03,0.02,0,0,0,0,0
S063,0.00,0.37,0.00,0.00,0.00,0.63,0,0,0,0,0,0,0,0,704,125,149,0,10989
S064,0.00,1.00,0.00,0.00,0.00,0.00,0.11,0,100,0,"0.0887789697",0.06,0,0.02,388,118,45,94,17761
S065,0.00,0.77,0.00,0.00,0.00,0.23,0.03,0.06,33.33,66.67,0.08,0.06,0.03,0.05,1071,146,209,608,51188
S066,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,262,0,0,224,7594
S067,0.00,0.92,0.00,0.00,0.00,0.08,0,0,0,0,0,0,0,0,973,364,253,855,27190
S068,0.00,1.00,0.00,0.00,0.00,0.00,0,0.1,0,100,0.1,0,0.03,0.02,285,386,0,191,17132
S069,0.00,0.50,0.50,0.00,0.00,0.00,0,0.28,0,100,0.28,0,0.03,0.02,155,0,36,0,5596
S070,0.00,0.67,0.33,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,107,48,84,10429
S071,0.00,0.67,0.00,0.00,0.00,0.33,0,0,0,0,0,0,0,0,526,0,0,146,10615
S072,0.00,0.90,0.00,0.00,0.00,0.10,0,0,0,0,0,0,0,0,1108,0,40,511,39484
S073,0.00,1.00,0.00,0.00,0.00,0.00,0,0.19,0,100,0.19,0,0.03,0.02,1102,0,80,125,8394
S074,0.00,0.00,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,48,0,4546
S075,0.00,0.50,0.50,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
S076,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0,0,0,0
S077,0.00,0.20,0.00,0.00,0.00,0.80,0,0,0,0,0,0,0,0,255,0,205,0,4114
S078,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,127,7027
S079,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
S080,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,43,0,4042
S081,0.20,0.60,0.00,0.00,0.20,0.00,0,0,0,0,0,0,0,0,0,0,45,94,4019
S082,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,242,0,0,0,6485
S083,0.00,1.00,0.00,0.00,0.00,0.00,0.43,0,100,0,0.36,0.35,0,0.14,278,0,40,144,16872
S084,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,635,0,49,759,26301
S085,0.00,1.00,0.00,0.00,0.00,0.00,0.13,0,100,0,0.11,0.06,0,0.02,0,0,0,639,8752
S086,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1022,0,0,372,10513
S088,0.00,0.59,0.00,0.00,0.00,0.41,0,0,0,0,0,0,0,0,2627,287,795,4299,168428
S089,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,192,0,203,8266
S090,0.00,0.67,0.00,0.00,0.00,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
S091,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,320,318,0,309,6351
S092,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,679,0,129,443,17022
S093,0.00,0.86,0.14,0.00,0.00,0.00,0,0.25,0,100,0.25,0,0.09,0.07,1749,0,60,381,21230
S094,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1623,0,106,861,29812
S095,0.00,0.87,0.03,0.00,0.00,0.10,0.22,0.05,85,15,0.23,1,0.09,0.45,2798,584,487,2129,101390
S096,0.00,1.00,0.00,0.00,0.00,0.00,0,0.19,0,100,0.19,0,0.06,0.05,1945,0,0,3521,15161
S097,0.00,0.40,0.00,0.00,0.00,0.60,0,0.08,0,100,0.08,0,0.06,0.05,4545,0,126,613,30293
S098,0.00,1.00,0.00,0.00,0.00,0.00,0,0.11,0,100,0.11,0,0.03,0.02,703,0,46,528,14003
S099,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1557,0,0,507,27454
S100,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,538,0,155,277,10616
S101,0.00,0.78,0.00,0.00,0.00,0.22,0.08,0,100,0,0.07,0.06,0,0.02,92,98,55,490,18975
S102,0.00,1.00,0.00,0.00,0.00,0.00,0.08,0,100,0,0.07,0.06,0,0.02,552,0,0,0,14457
S103,0.00,1.00,0.00,0.00,0.00,0.00,0.15,0,100,0,0.12,0.06,0,0.02,87,346,66,238,7814
S104,0.00,0.80,0.00,0.00,0.00,0.20,0,0,0,0,0,0,0,0,1615,0,0,608,11830
S105,0.00,1.00,0.00,0.00,0.00,0.00,0.19,0.11,66.67,33.33,0.27,0.12,0.03,0.07,0,85,108,1301,13850
S106,0.00,0.33,0.00,0.00,0.00,0.67,0,0.02,0,100,0.02,0,0.03,0.02,1519,1101,221,1805,39265
S107,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,110,83,0,10815
S108,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,87,0,43,243,10606
S109,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,66,164,12518
S110,0.00,1.00,0.00,0.00,0.00,0.00,1,0.13,91.67,8.33,0.96,0.65,0.03,0.27,0,101,88,86,13030
S111,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,180,0,12414
S112,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,514,132,7838
S113,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,170,73,0,6089
S114,0.00,0.89,0.11,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1471,150,350,429,20899
S115,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,462,344,0,178,15228
S116,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,628,0,44,0,5787
S117,0.00,1.00,0.00,0.00,0.00,0.00,0,0.18,0,100,0.18,0,0.03,0.02,157,0,0,230,8741
S118,0.00,0.25,0.00,0.00,0.75,0.00,0,0,0,0,0,0,0,0,1341,0,370,432,29733
S119,0.50,0.00,0.00,0.00,0.50,0.00,0,0,0,0,0,0,0,0,229,0,43,304,19463
S120,0.50,0.00,0.00,0.00,0.50,0.00,0,0,0,100,0,0,0.34,0.25,128,0,36,1201,19237
S121,0.33,0.33,0.00,0.00,0.33,0.00,0,0,0,0,0,0,0,0,0,0,39,751,9490
S122,0.00,0.91,0.00,0.00,0.09,0.00,0.16,0.08,66.67,33.33,0.22,0.12,0.03,0.07,594,0,55,0,18946
S123,0.33,0.00,0.00,0.00,0.67,0.00,0,0,0,0,0,0,0,0,109,776,150,690,14692
S124,0.00,0.89,0.00,0.00,0.11,0.00,0,0,0,0,0,0,0,0,0,0,82,247,21396
S125,0.00,0.75,0.00,0.00,0.25,0.00,0,0,0,0,0,0,0,0,661,536,45,0,16925
S126,1.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,624,54,0,0,11691
S127,0.00,0.67,0.00,0.00,0.33,0.00,0,0.18,0,100,0.18,0,0.06,0.05,761,439,193,497,17758
S128,1.00,0.00,0.00,0.00,0.00,0.00,0,0.12,0,100,0.12,0,0.03,0.02,0,0,192,1065,15776
S129,1.00,0.00,0.00,0.00,0.00,0.00,0.1,0,100,0,0.08,0.06,0,0.02,0,0,108,0,16962
S130,0.00,0.93,0.00,0.00,0.07,0.00,0,0.1,0,100,0.1,0,0.06,0.05,355,193,200,167,32538
S131,1.00,0.00,0.00,0.00,0.00,0.00,0,0.18,0,100,0.18,0,0.09,0.07,261,153,0,0,26660
S132,0.00,1.00,0.00,0.00,0.00,0.00,0.05,0,100,0,0.04,0.06,0,0.02,1392,549,4235,1791,27755
S133,0.00,1.00,0.00,0.00,0.00,0.00,0,0.06,0,100,0.06,0,0.03,0.02,931,0,213,2054,27727
S134,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,275,424,120,424,27482
