id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione
S076,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S077,0.00,0.20,0.00,0.00,0.00,0.80,0,0,0,0,0
S078,0.00,0.86,0.14,0.00,0.00,0.00,0,0,0,0,0
S079,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S080,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S081,0.20,0.60,0.00,0.00,0.20,0.00,0,0,0,0,0
S082,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S083,0.00,1.00,0.00,0.00,0.00,0.00,0.4315712771,0,100,0,0.355135873578496
S084,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S085,0.00,1.00,0.00,0.00,0.00,0.00,0.1313649317,0,100,0,0.108098945065484
S086,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S088,0.00,0.53,0.00,0.00,0.00,0.47,0,0,0,0,0
S089,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S090,0.00,0.67,0.00,0.00,0.00,0.33,0,0,0,0,0
S091,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S092,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S093,0.00,0.86,0.14,0.00,0.00,0.00,0,0.2450989552,0,100,0.245098955236558
S094,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S095,0.00,0.88,0.09,0.00,0.00,0.03,0.2154493714,0.05132114429,85,15,0.228612370023881
S096,0.00,0.60,0.40,0.00,0.00,0.00,0,0.1872070379,0,100,0.18720703790247
S097,0.00,0.40,0.00,0.00,0.00,0.60,0,0.08328277971,0,100,0.08328277971484
S098,0.00,1.00,0.00,0.00,0.00,0.00,0,0.112604676,0,100,0.11260467604717
S099,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S100,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S101,0.00,0.78,0.00,0.00,0.00,0.22,0.08078741378,0,100,0,0.066479189615327
S102,0.00,1.00,0.00,0.00,0.00,0.00,0.07952589627,0,100,0,0.065441098928762
S103,0.00,1.00,0.00,0.00,0.00,0.00,0.1471341032,0,100,0,0.12107524535617
S104,0.00,0.57,0.00,0.00,0.00,0.43,0,0,0,0,0
S105,0.00,1.00,0.00,0.00,0.00,0.00,0.1936929284,0.1138486122,66.66666667,33.33333333,0.273236669231225
S106,0.00,0.33,0.00,0.00,0.00,0.67,0,0.01891921768,0,100,0.018919217684399
S107,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S108,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S109,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S110,0.00,1.00,0.00,0.00,0.00,0.00,1,0.1331146283,91.66666667,8.333333333,0.956005057685291
S111,0.00,0.89,0.11,0.00,0.00,0.00,0,0,0,0,0
S112,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S113,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S114,0.00,0.89,0.11,0.00,0.00,0.00,0,0,0,0,0
S115,0.00,0.90,0.10,0.00,0.00,0.00,0,0,0,0,0
S116,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S117,0.00,1.00,0.00,0.00,0.00,0.00,0,0.1803916347,0,100,0.180391634674354
S118,0.00,0.25,0.25,0.00,0.50,0.00,0,0,0,0,0
S119,0.50,0.00,0.00,0.00,0.50,0.00,0,0,0,0,0
S120,0.50,0.00,0.00,0.00,0.50,0.00,0,0,0,100,0
S121,0.33,0.33,0.00,0.00,0.33,0.00,0,0,0,0,0
S122,0.00,0.91,0.00,0.00,0.09,0.00,0.1618221447,0.08322618382,66.66666667,33.33333333,0.216388077936776
S123,0.33,0.00,0.00,0.00,0.67,0.00,0,0,0,0,0
S124,0.00,0.89,0.00,0.00,0.11,0.00,0,0,0,0,0
S125,0.00,0.75,0.00,0.00,0.25,0.00,0,0,0,0,0
S126,1.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S127,0.00,0.67,0.00,0.00,0.33,0.00,0,0.1775879354,0,100,0.177587935430626
