id	title	type	file
S152	La taverna dei destini incrociati	racconto	
V019	Il castello dei destini incrociati (riediz)	romanzo	
S153	Ricordo di una battaglia	racconto	
S154	Autobiografia di uno spettatore	racconto	
V020	Eremita a Parigi	ibrido	
S155	La pompa di benzina	racconto	
S156	La glaciazione	racconto	
S157	L'uomo di Neanderthal	racconto	
S158	Montezuma	racconto	
S159	Prima che tu dica «Pronto»	racconto	
S160	La corsa delle giraffe	racconto	
S161	Del modersi la lingua	racconto	
S162	Il fischio del merlo	racconto	
S163	Del prendersela coi giovani	racconto	
S164	Lettura di un'onda	racconto	
S165	La pantofola spaiata	racconto	
S166	Un chilo e mezzo di grasso d'oca	racconto	
S167	Altre città	racconto	
S168	Serpenti e teschi	racconto	
S169	Il richiamo dell'acqua	racconto	
S170	L'aiola di sabbia	racconto	
S171	La poubelle agréée	racconto	
S172	Il seno nudo	racconto	
S173	Il crollo del tempo	racconto	
S174	Parafrasi	racconto	
S175	Lo specchio e il bersaglio	racconto	
V021	Se una notte d'inverno un viaggiatore	romanzo	
S176	La coscienza a posto	racconto	
S177	Quattro favole d'Esopo per Valerio Adami	racconto	
S178	Il gorilla albino	racconto	
S179	L'altra euridice	racconto	
S180	Essere pietra (per Alberto Magnelli)	racconto	
S181	Le memorie di Casanova	racconto	
S182	L'invasione degli storni	racconto	
S183	Il silenzio e la città	racconto	
S184	L'occhio e i pianeti	racconto	
S185	Sapore Sapere	racconto	
S186	Il mondo guarda il mondo	racconto	
S187	La pancia del geco	racconto	
S188	Quattro studi dal vero	racconto	
S189	Viaggio nelle città di de Chirico	racconto	
S190	La spada del sole	racconto	
S191	La contemplazione delle stelle	racconto	
S192	Gli amori delle tartarughe	racconto	
S193	Il prato infinito	racconto	
S194	Luna di pomeriggio	racconto	
S195	Dal terrazzo	racconto	
S196	Il museo dei formaggi	racconto	
S197	Il marmo e il sangue	racconto	
S198	L'ordine degli squamati	racconto	
S199	Il modello dei modelli	racconto	
S200	L'universo come specchio	racconto	
S201	Come imparare a essere morto	racconto	
V022	Palomar	raccolta	
S202	L'ultimo canale	racconto	
S203	Il ricordo è bendato	racconto	
S204	Un re in ascolto	racconto	
S205	Il niente e il poco	racconto	
S206	L'implosione	racconto	
V023	Le cosmicomiche vecchie e nuove	raccolta	
